日期,开盘,最高,最低,收盘,成交量,成交额
2020-01-02,1954.336956,1976.5453305,1918.65550097,1955.52140264,30667439,4038536854.95
2020-01-03,1948.4147228,1955.37334681,1918.95161263,1932.86886065,20469248,2672531470.23
2020-01-06,1924.72579,1928.42718575,1902.81352716,1912.8813236,25936979,3353682073.13
2020-01-07,1917.3229985,1940.56776381,1909.920207,1915.39827271,22327793,2901574233.08
2020-01-08,1909.77215117,1921.17245008,1895.85490315,1908.29159287,16180218,2083242871.05
2020-01-09,1909.920207,1942.4924896,1898.81601975,1936.12608891,25549057,3317934212.41
2020-01-10,1932.1285815,1984.68840115,1932.1285815,1978.32200046,42969542,5712380855.97
2020-01-13,1987.79757358,2072.78162,1987.64951775,2067.74772178,49604194,6847185988.3
2020-01-14,2074.2621783,2082.84941644,2046.1315706,2051.46158048,19907317,2767444878.89
2020-01-15,2051.46158048,2114.38530823,2051.31352465,2084.6260864,23478904,3309331109.81
2020-01-16,2084.6260864,2102.392786,2062.4177119,2082.55330478,14535988,2046672621.12
2020-01-17,2091.43665458,2099.4316694,2047.6121289,2051.31352465,14847814,2068064059.85
2020-01-20,2080.92469065,2082.55330478,2025.4037544,2036.65599748,16753769,2308928098.7
2020-01-21,2020.9620795,2020.9620795,1954.48501183,1963.51641746,29307308,3903226854.52
2020-01-22,1939.38331717,1964.25669661,1921.17245008,1949.8952811,25753051,3375415201.52
2020-01-23,1950.93167191,1950.93167191,1850.697875,1867.87235128,41593668,5294268764.02
2020-02-03,1681.02589382,1681.02589382,1681.02589382,1681.02589382,16763900,1903373206.0
2020-02-04,1613.808547,1776.66996,1613.808547,1695.2392535,71021426,8017646168.99
2020-02-05,1715.9670697,1773.7088434,1689.3170203,1739.80405833,38878339,4546389350.93
2020-02-06,1761.864377,1775.78162502,1726.3309778,1764.08521445,30655105,3619248778.77
2020-02-07,1765.56577275,1790.43915219,1741.28461663,1785.25719814,28011695,3346691769.07
2020-02-10,1769.2671685,1811.16696839,1755.64603214,1793.40026879,22187650,2682789606.04
2020-02-11,1793.69638045,1858.1006665,1793.69638045,1847.58870257,24577382,3049430907.63
2020-02-12,1843.2950835,1854.39927075,1817.68142491,1843.14702767,17511362,2168783486.48
2020-02-13,1848.92120504,1875.27514278,1826.56477471,1837.96507362,17862884,2230165010.37
2020-02-14,1838.8534086,1863.72678804,1812.94363835,1827.45310969,16971973,2094049251.54
2020-02-17,1823.75171394,1840.3339669,1814.86836414,1840.3339669,23816908,2941280509.98
2020-02-18,1832.9311754,1840.3339669,1821.23476483,1826.86088637,12872775,1590249168.59
2020-02-19,1832.63506374,1882.97404594,1816.34892244,1865.503458,31662776,3976674952.02
2020-02-20,1880.309041,1933.31302814,1878.68042687,1926.94662745,33466160,4332207305.97
2020-02-21,1924.72579,1942.4924896,1910.21631866,1924.72579,20743751,2695003477.31
2020-02-24,1915.8424402,1915.8424402,1875.8673661,1881.7895993,23560124,3005249413.49
2020-02-25,1847.7367584,1880.309041,1833.81951038,1855.1395499,24063330,3014293143.31
2020-02-26,1833.37534289,1871.72180286,1821.086709,1837.3728503,21417866,2662201890.95
2020-02-27,1847.7367584,1891.41322825,1843.2950835,1869.9451329,23573167,2986686525.44
2020-02-28,1835.892292,1836.33645949,1761.864377,1785.5533098,36601211,4445668089.26
2020-03-02,1778.1505183,1829.9700588,1770.7477268,1815.90475495,26982238,3287615181.0
2020-03-03,1831.4506171,1863.72678804,1831.4506171,1841.37035771,23092324,2878896360.57
2020-03-04,1835.892292,1864.46706719,1835.892292,1854.69538241,19757510,2471690889.51
2020-03-05,1873.64652865,1996.97703504,1865.503458,1972.1036556,56561987,7399037627.07
2020-03-06,1954.336956,1996.97703504,1924.72579,1925.76218081,29165822,3845033468.46
2020-03-09,1895.114624,1898.81601975,1866.09568132,1869.9451329,24454158,3106158207.37
2020-03-10,1869.9451329,1948.85889029,1868.4645746,1935.38580976,31077221,4017374185.62
2020-03-11,1961.7397475,1966.1814224,1917.3229985,1923.2452317,18763487,2452609914.83
2020-03-12,1878.53237104,1896.74323813,1863.43067638,1866.09568132,25266000,3199005135.69
2020-03-13,1776.66996,1853.95510326,1760.08770704,1815.1644758,35088698,4280415922.71
2020-03-16,1797.3977762,1812.2033592,1693.90675103,1710.0448365,37024247,4379489484.69
2020-03-17,1695.2392535,1740.84044914,1607.59020214,1663.55530588,35297954,3975112228.21
2020-03-18,1675.9919956,1717.00346051,1579.60765027,1592.93267497,40442259,4528147000.34
2020-03-19,1566.4306814,1584.197381,1460.27465129,1511.79808013,60169789,6133825332.91
2020-03-20,1544.51841856,1623.58023178,1542.88980443,1606.55381133,42206390,4484741875.15
2020-03-23,1539.780632,1576.7945895,1525.56727232,1547.33147933,32826540,3443583082.04
2020-03-24,1585.38182764,1626.98551587,1569.98402132,1614.54882615,35636342,3859693788.5
2020-03-25,1674.5114373,1702.04982168,1655.85640272,1687.836462,30947333,3508691590.55
2020-03-26,1672.73476734,1721.8893029,1656.7447377,1686.20784787,20880123,2397709906.11
2020-03-27,1711.5253948,1744.0976774,1711.5253948,1714.63456723,23543496,2745616755.87
2020-03-30,1670.36587406,1688.13257366,1653.7836211,1676.43616309,20580583,2321514404.45
2020-03-31,1702.642045,1726.18292197,1688.72479698,1705.6031616,18849621,2179898621.24
2020-04-01,1717.447628,1732.10515517,1694.35091852,1702.642045,17596852,2033698724.25
2020-04-02,1687.836462,1735.06627177,1680.72978216,1735.06627177,19153739,2218330786.42
2020-04-03,1742.6171191,1768.82300101,1729.2920944,1739.95211416,17580586,2076905527.11
2020-04-07,1785.5533098,1844.47953014,1785.5533098,1837.96507362,29451150,3627761364.58
2020-04-08,1837.96507362,1865.35540217,1827.45310969,1854.84343824,20113362,2515223465.74
2020-04-09,1875.12708695,1889.1923908,1821.23476483,1850.40176334,15879620,1985606241.45
2020-04-10,1850.40176334,1906.9590904,1838.8534086,1873.20236116,19896089,2526071157.92
2020-04-13,1852.91871245,1880.60515266,1838.8534086,1850.697875,14606018,1831925095.04
2020-04-14,1874.53486363,1908.14353704,1853.6589916,1901.77713635,19461888,2481573352.81
2020-04-15,1902.07324801,1928.87135324,1883.41821343,1893.78212153,16296718,2095661173.69
2020-04-16,1880.45709683,1892.1535074,1858.39677816,1866.9840163,18825435,2379554855.73
2020-04-17,1882.82599011,1920.2841151,1876.45958942,1907.25520206,23471089,3022344869.28
2020-04-20,1923.54134336,1931.83246984,1908.14353704,1914.50993773,13218834,1710863422.65
2020-04-21,1896.29907064,1909.17992785,1851.88232164,1872.46208201,20552372,2596092234.03
2020-04-22,1873.49847282,1939.38331717,1856.91621986,1929.1674649,26598477,3436601399.74
2020-04-23,1942.4924896,1988.3897969,1936.5702564,1940.86387547,21331870,2822832124.0
2020-04-24,1943.08471292,1973.43615807,1915.39827271,1945.4536062,16773324,2215246722.03
2020-04-27,1961.88780333,1978.32200046,1930.35191154,1964.7008641,15934244,2110526723.89
2020-04-28,2013.559288,2090.84443126,1991.49896933,2057.976037,42077345,5811722420.06
2020-04-29,2057.976037,2075.00245745,1983.948122,2006.1564965,29183204,3980521441.33
2020-04-30,2006.1564965,2060.9371536,1984.24423366,2010.15400391,22864055,3121490868.85
2020-05-06,1991.3509135,2058.71631615,1983.65201034,2046.27962643,25104481,3442757066.21
2020-05-07,2048.79657554,2102.392786,2033.84293671,2101.06028353,27796178,3911603340.04
2020-05-08,2112.01641495,2154.2123265,2086.55081219,2115.7178107,24326698,3478295310.58
2020-05-11,2120.45559726,2148.2900933,2087.587203,2100.17194855,23681991,3384838039.21
2020-05-12,2087.587203,2128.89477957,2085.95858887,2115.7178107,15184489,2167669765.73
2020-05-13,2115.7178107,2164.72429043,2106.8344609,2161.615118,19635029,2845747547.17
2020-05-14,2160.1345597,2176.420701,2137.9261852,2166.0567929,15361261,2244204771.75
2020-05-15,2183.8234925,2191.07822817,2133.18839864,2150.06676326,16064447,2338474671.03
2020-05-18,2146.809535,2257.25918418,2140.8873018,2238.45609377,24881015,3718097608.91
2020-05-19,2270.14004139,2272.50893467,2226.31551571,2241.86137786,17650556,2669709609.73
2020-05-20,2257.8514075,2264.95808734,2228.38829733,2233.42219555,17041214,2580358165.72
2020-05-21,2248.37583438,2273.10115799,2236.08720049,2245.71082944,17092150,2602103042.56
2020-05-22,2232.08969308,2232.38580474,2126.82199795,2135.70534775,38352639,5597327855.31
2020-05-25,2132.15200783,2182.3429342,2089.0677613,2176.86486849,24355991,3540747465.39
2020-05-26,2176.86486849,2207.80853696,2163.83595545,2188.41322323,16511925,2436906020.3
2020-05-27,2188.56127906,2197.1485172,2156.87733144,2163.98401128,14596302,2143082940.19
2020-05-28,2163.83595545,2191.52239566,2139.4067435,2163.98401128,14818404,2166223144.01
2020-05-29,2146.809535,2199.96157797,2144.29258589,2194.1874006,16321720,2408655795.79
2020-06-01,2221.72578498,2371.55828494,2221.72578498,2348.01740797,35784358,5624344618.44
2020-06-02,2345.05629137,2422.93365795,2339.57822566,2350.68241291,29158586,4669324668.49
2020-06-03,2381.62608138,2394.95110608,2319.73874444,2342.83545392,25275933,4004118585.55
2020-06-04,2339.72628149,2368.59716834,2324.476531,2351.86685955,13631755,2166142874.92
2020-06-05,2355.71631113,2378.96107644,2333.3598808,2370.22578247,15985906,2547709184.77
